dropNumber,accountLevel,dropSplitNumber,shipDate
drop1,dropSplit,split2,15/10/2022
drop1,dropSplit,split3,16/10/2022
drop1,dropSplit,split4,17/10/2022
drop2,dropSplit,split2,12/11/2022
drop2,dropSplit,split3,13/11/2022
drop2,dropSplit,split4,14/11/2022
drop1,LEVEL01,split1,6/10/2022
drop1,LEVEL02,split1,10/10/2022
drop1,LEVEL03,split1,12/10/2022
drop1,LEVEL04,split1,14/10/2022
drop1,LEVEL05,split1,14/10/2022
drop2,LEVEL01,split1,3/11/2022
drop2,LEVEL02,split1,7/11/2022
drop2,LEVEL03,split1,9/11/2022
drop2,LEVEL04,split1,11/11/2022
drop2,LEVEL05,split1,11/11/2022
