sortOrder,sKU,dropNumber,parcel1,parcel2,parcel3,parcel4,parcel5
1,FGC380GINGE-22,drop1,102,72,30,15,9
2,FGC380UNDER-22,drop1,102,60,21,12,9
3,FGC380NIGHT-22,drop1,150,84,60,30,12
4,FGC380WHITE-22,drop1,120,60,21,15,9
5,FGD250NIGHT-22,drop1,60,32,24,12,8
6,FGC060NIGHT-22,drop1,60,52,28,16,4
7,FGC180TRIO1-22,drop1,64,40,24,8,8
8,FGC030TAHAA-22,drop1,96,72,48,24,16
9,FGR010INTRO-X-22,drop1,52,40,20,12,4
10,FGR005NIGHT-21,drop1,60,42,30,12,6
11,FGP737ADVEN-22,drop1,10,6,4,2,2
12,FGC760NIGHT-22,drop1,12,9,6,3,0
13,FGP055SUNSE-22,drop1,64,48,40,16,8
14,FGP385KYOTO-22,drop1,48,28,8,4,4
15,FGT001CARDI-X-22,drop1,40,28,16,8,8
16,FGC090TRIO1-22,drop1,40,32,8,8,8
17,FGE040FRAGL,drop1,30,24,18,12,6
18,FGC380GINGE-22-ST,drop1,2,1,1,1,1
19,FGC380UNDER-22-ST,drop1,2,1,1,1,1
20,FGC380NIGHT-22-ST,drop1,2,1,1,1,1
21,FGC380WHITE-22-ST,drop1,2,1,1,1,1
22,FGD250NIGHT-22-ST,drop1,1,1,1,1,1
23,FGR005NIGHT-21-ST,drop1,1,1,1,1,1
24,FGP385KYOTO-22-ST,drop1,1,1,1,1,1
25,FGT001CARDI-X-22-ST,drop1,1,1,1,1,1
26,FGP314TAHAA-22,drop2,4,4,4,4,4
27,FGN285SOAPT-22,drop2,8,4,4,4,4
28,FGC760GINGE-22,drop2,6,3,3,0,0
29,FGP250KYOTO-22,drop2,6,3,3,3,3
30,FGP900KYOTO-22,drop2,12,8,8,4,4
31,FGR150NIGHT-22,drop2,24,16,12,4,4
32,FGP350NIGHT-22,drop2,20,16,12,8,4
33,FGP174SUNSE-22,drop2,12,8,4,4,0
34,FGR150NIGHT-22-ST,drop2,1,1,1,1,1
35,MG10205,drop1,1,1,1,1,1
36,R11211,drop1,47,28,13,7,4
37,MG10214,drop1,0,0,0,0,0
38,MG10207,drop1,0,0,0,0,0
39,MG10139,drop1,0,0,0,0,0
40,MG10208,drop1,0,0,0,0,0
